MessageID,Province,City,Gender,Message,Sentiment
3399708783612028,Guǎngdōng 广东,3,1,#羽毛球#新年第一战，风云组合终于赢了李龙大郑再成，可惜林丹却败给了李崇伟，难道预示着今年伦敦奥运会的趋势？,0.9606346820525062
3399760788465017,Guǎngdōng 广东,8,1,忽然听说今年有奥运会，才感觉四年时间，一眨眼过去了。偶然又听到《2002年的第一场雪》，才感觉十年时间，一眨眼又过去了。时间，是不是真的是个奇妙的东西。,0.9964556028925193
3399855461063883,Héběi 河北,4,1,NBA超级巨星科比-布莱恩特领衔2012伦敦奥运会美国男篮“梦之队”。科比、詹姆斯、韦德、波什、安东尼、罗斯、霍华德等18人确定参加2012伦敦奥运会！,0.9999994970114349
3399882062752246,Qítā 其他,1000,1,科比现在都34岁了今年  北京奥运会的时候就三十岁了  什么才31啊 看直播： http://t.cn/h9nVzP 我看到了这里： http://t.cn/SXTuMf,0.5275769000623693
3399906973048091,Hǎiwài 海外,1000,0,忽然听说今年有奥运会，才感觉四年时间，一眨眼过去了。偶然又听到《2002年的第一场雪》，才感觉十年时间，一眨眼又过去了......,0.9892814742282725
3399956811562939,Hǎinán 海南,1,0,忽然听说今年有奥运会，才感觉四年时间，一眨眼过去了。偶然又想到《2002年的第一场雪》，才感觉十年时间，一眨眼又过去了......,0.9944306996900694
3399974693977468,Zhèjiāng 浙江,10,1,时间过的真快，转眼就2012了。听说今年有奥运会，好像北京欢迎你的歌声还在耳边，怎么就过去四年了。,0.9872346322493188
3399976929653477,Shǎnxī 陕西,1,0,忽然听说今年有奥运会，才感觉四年时间，一眨眼过去了。偶然又听到《2002年的第一场雪》，才感觉十年时间，一眨眼又过去了......,0.9892814742282725
3399986002073989,Guǎngdōng 广东,1,0,忽然听说今年有奥运会，才感觉四年时间，一眨眼过去了。偶然又听到《2002年的第一场雪》，才感觉十年时间，一眨眼又过去了......,0.9892814742282725
3399994846122170,Liáoníng 辽宁,7,1,忽然听说今年有奥运会，才感觉四年时间，一眨眼过去了。偶然又听到《2002年的第一场雪》，才感觉十年时间，一眨眼又过去了......,0.9892814742282725
3399999346676942,Fújiàn 福建,1000,1,神秘的玛雅预言到今年就终止了，不管是不是世界末日，2012，我们来了！伦敦奥运会、IPAD3、WINDOWS8、泰坦尼克号3D电影...2012年，还是那么精彩！,0.9992315114269994
3400087046989083,Hǎiwài 海外,4,1,“1980年夏季莫斯科奥运会吉祥物‘米沙’。很可爱，买一个回去放家里。”-\Летняя Олимпиада 1980 года в Москве талисман 'Миша' очень мило,0.7572890890731571
3400129195720711,Qítā 其他,1000,1,1968年创造了经济奇迹的墨西哥首次将奥运会带到了拉丁美洲。但就在奥运会开幕前10天，学生们走上墨西哥城街头要求民主。虽然他们强调不想干扰奥运会的进行，但示威中仍表达了对于花费大量金钱办奥运的不满。在三种文化广场，他们遭到了政府军队的屠杀，死亡人数至今不详。这起事件史称特拉特洛尔科之夜,0.9442686335405253
3400150439441455,Hǎiwài 海外,2,0,今年是伦敦奥运会倒数两百天啊～,0.16213739512487657
3400162942940329,Hǎiwài 海外,2,0,[太阳报刊文辱华 中国驻英使馆强烈不满] “口无遮拦”的杰里米·克拉克森Jeremy Clarkson再度惹祸。被英国广播公司评价为“刚愎自用”的英国著名媒体人克拉克森7日又在英国《太阳报》上大放厥词，嘲笑伦敦奥运会的花样游泳运动，无端将其与2004年的中国拾贝者遇难事件作对比。http://t.cn/SaPg1s,0.9976361082986696
3400179760438361,Qítā 其他,1000,1,忽然听说今年有奥运会，才感觉四年时间，一眨眼过去了。偶然又听到《2002年的第一场雪》，才感觉十年时间，一眨眼又过去了......,0.9892814742282725
3400198063695984,Shànghǎi 上海,7,1,哪能又梦到去成都了，汗！这次梦到在春熙路开奥运会，晕倒！[汗][汗][汗],0.016285585712576878
3400197994420656,Běijīng 北京,5,1,【评残疾人致信铁道部:关怀不能只是面子】三位残疾人兄弟致信铁道部，难免令人想起北京奥运会和上海世博会，在国际盛会期间相关部门主动专门为残疾人所做的，远远超过三位残疾人同胞百般无奈之下对铁道部的建议所求。日前，农民工黄庆红因为致信铁道部反映买票难而备受关注。  http://t.cn/SahO2q,0.035976152230834835
3400203181039188,Sìchuān 四川,1,1,忽然听说今年有奥运会，才感觉四年时间，一眨眼过去了。偶然又听到《2002年的第一场雪》，才感觉十年时间，一眨眼又过去了......,0.9892814742282725
3400216483158321,Běijīng 北京,5,1,【创业加油站】有位射击运动员，开始时教练每天给他300发子弹训练，可他训练漫不经心，成绩无法提高。后来教练改变方法，每天只给一发子弹，没射中靶心就不准离开，从此他训练变得格外认真。最后，这位运动员获得了奥运会射击冠军，他叫鲍格丹诺夫。“1”为何大于“300”？因为“1”是“唯一”。,0.9998310098126039
3400241607334944,Húnán 湖南,6,0,周洋新版感言：\最想说的就是感谢，感谢国家给我们提供了那么好的条件，让我们有这么好的条件去征战奥运会，也要感谢支持我们的人，感谢教练，感谢工作人员，感谢我爸妈\--父母的排名从第1位一竿子支到第5位了。,0.9949903465446902
3400247673896585,Jiāngsū 江苏,1,0,今年有奥运会了,0.5
3400259390818136,Běijīng 北京,5,1,伦敦奥运会马上就要开幕了，想起了四年前的北京，那劲头儿、那动静儿、那派头儿、那声势，怎么想怎么像大观园里的元妃省亲。不是由盛而衰的开始吧？,0.9855604535991721
3400260603291305,Jílín 吉林,1,1,【Jeremy Clarkson 言论惹怒中方：中国驻英国大使馆要求其道歉】记者问：2012年1月7日，克拉克森 (Jeremy Clarkson) 在英国《太阳报》刊文，就伦敦奥运会花样游泳门票事进行评论并恶毒表示：“‘花样游泳’只是一些在水中头朝下、带着帽子的中国女人，你可以在莫克姆海滩免费看到这些”。,0.9995258680733881
